wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-01,2023-05-15,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-02,2023-05-16,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-03,2023-05-17,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-04,2023-05-18,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-05,2023-05-19,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-06,2023-05-20,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-07,2023-05-21,,100,73.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-08,2023-05-22,-43,100,56.5,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-09,2023-05-23,-43,100,56.5,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-10,2023-05-24,-70,100,40.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-11,2023-05-25,-70,100,40.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-12,2023-05-26,-70,100,40.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-13,2023-05-27,-70,100,40.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-14,2023-05-28,-70,100,40.0,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-15,2023-05-29,-4,100,50.0,no,2023-05-15
