wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-01,2023-05-15,,100,81.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-02,2023-05-16,,100,81.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-03,2023-05-17,291,100,87.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-04,2023-05-18,291,100,87.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-05,2023-05-19,291,100,87.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-06,2023-05-20,291,100,87.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-07,2023-05-21,291,100,87.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-08,2023-05-22,-66,100,73.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-09,2023-05-23,-66,100,73.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-10,2023-05-24,-58,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-11,2023-05-25,-58,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-12,2023-05-26,-58,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-13,2023-05-27,-58,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-14,2023-05-28,-58,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-15,2023-05-29,-58,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-16,2023-05-30,-71,100,68.75,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-17,2023-05-31,-4,100,70.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-18,2023-06-01,127,100,70.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-19,2023-06-02,127,100,70.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-20,2023-06-03,127,100,70.5,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-05-21,2023-06-04,127,100,70.5,no,2023-05-15
